center_code,transfer_type
DC10200,"drop_off,courier,rider"
DC7918,"drop_off,courier,rider"
CC5252,"drop_off,courier,rider"
DC12923,"drop_off,courier,rider"
DC1603,"drop_off,courier,rider"
DC5436,"drop_off,courier,rider"
CC6686,"drop_off,courier,rider"
GELAB3629,"drop_off,courier,rider"
DC12500,"drop_off,courier,rider"
DC4545,"drop_off,courier,rider"
DC6783,"drop_off,courier,rider"
CC13134,"drop_off,courier,rider"
DC10408,"drop_off,courier,rider"
OLC9757,"drop_off,courier,rider"
DC11442,"drop_off,courier,rider"
CC9197,"drop_off,courier,rider"
DC11827,"drop_off,courier,rider"
DC9410,"drop_off,courier,rider"
DC4097,"drop_off,courier,rider"
DC6334,"drop_off,courier,rider"
DC12946,"drop_off,courier,rider"
DC3350,"drop_off,courier,rider"
DC9416,"drop_off,courier,rider"
CC11664,"drop_off,courier,rider"
CC5053,"drop_off,courier,rider"
DC5629,"drop_off,courier,rider"
DC7088,"drop_off,courier,rider"
DC5580,"drop_off,courier,rider"
DC10411,"drop_off,courier,rider"
CC7772,"drop_off,courier,rider"
DC9089,"drop_off,courier,rider"
DC12118,"drop_off,courier,rider"
F615,"drop_off,courier,rider"
DC2976,"drop_off,courier,rider"
CC13018,"drop_off,courier,rider"
DC13282,"drop_off,courier,rider"
GELAB3863,"drop_off,courier,rider"
DC6808,"drop_off,courier,rider"
DC9876,"drop_off,courier,rider"
DC10795,"drop_off,courier,rider"
CC2702,"drop_off,courier,rider"
DC6789,"drop_off,courier,rider"
DC8210,"drop_off,courier,rider"
CC13162,"drop_off,courier,rider"
CC5824,"drop_off,courier,rider"
CC12910,"drop_off,courier,rider"
DC9085,"drop_off,courier,rider"
DC12755,"drop_off,courier,rider"
F465,"drop_off,courier,rider"
OLC7733,"drop_off,courier,rider"
DC11895,"drop_off,courier,rider"
DC7011,"drop_off,courier,rider"
CC9177,"drop_off,courier,rider"
CC6512,"drop_off,courier,rider"
DC7082,"drop_off,courier,rider"
DC6252,"drop_off,courier,rider"
DC10420,"drop_off,courier,rider"
DC3456,"drop_off,courier,rider"
DC7370,"drop_off,courier,rider"
DC13207,"drop_off,courier,rider"
CC10601,"drop_off,courier,rider"
DC9635,"drop_off,courier,rider"
DC11669,"drop_off,courier,rider"
GELAB3235,"drop_off,courier,rider"
DC6847,"drop_off,courier,rider"
CC9127,"drop_off,courier,rider"
DC11330,"drop_off,courier,rider"
DC11949,"drop_off,courier,rider"
DC7974,"drop_off,courier,rider"
DC11830,"drop_off,courier,rider"
GELAB4513,"drop_off,courier,rider"
F662,"drop_off,courier,rider"
DC3357,"drop_off,courier,rider"
DC12665,"drop_off,courier,rider"
F856,"drop_off,courier,rider"
CC5525,"drop_off,courier,rider"
CC9453,"drop_off,courier,rider"
DC10422,"drop_off,courier,rider"
DC10203,"drop_off,courier,rider"
DC6139,"drop_off,courier,rider"
DC10020,"drop_off,courier,rider"
DC12955,"drop_off,courier,rider"
